Keyword,JaccardSimilarity
abortion,0.0
border,0.05263157894736842
capitalism,0.0
climate_change,0.0
crime,0.05263157894736842
democracy,0.05263157894736842
education,0.1111111111111111
economy,0.17647058823529413
equality,0.05263157894736842
environment,0.0
freedom,0.1111111111111111
gas,0.05263157894736842
gun,0.0
healthcare,0.05263157894736842
immigrant,0.0
immigration,0.0
inflation,0.0
job,0.05263157894736842
justice,0.0
medicare,0.0
military,0.05263157894736842
patriotism,0.05263157894736842
police,0.0
racism,0.0
right,0.05263157894736842
security,0.0
social_security,0.05263157894736842
tax,0.0
terrorism,0.0
truth,0.05263157894736842
veteran,0.17647058823529413
voting_right,0.0
